profile_code,assigned_profile
3281,Industrial
3282,Industrial
3283,Industrial
3284,Industrial
3285,Industrial
3286,Industrial
3287,Industrial
3288,Industrial
3290,Industrial
3291,Oil Combustion
3292,Oil Combustion
3293,Oil Combustion
3295,Oil Combustion
3296,Soil Dust
3297,Soil Dust
3298,Soil Dust
3299,Soil Dust
3300,Soil Dust
3300110,Gasoline Vehicle
330012.5,Gasoline Vehicle
3300130,Gasoline Vehicle
33001C,Gasoline Vehicle
3300210,Vehicle Composite
330022.5,Vehicle Composite
3300230,Vehicle Composite
33002C,Vehicle Composite
3300310,Vehicle Composite
330032.5,Vehicle Composite
3300330,Vehicle Composite
33003C,Vehicle Composite
3300410,Vehicle Composite
330042.5,Vehicle Composite
3300430,Vehicle Composite
33004C,Vehicle Composite
3300510,Vehicle Composite
330052.5,Vehicle Composite
3300530,Vehicle Composite
33005C,Vehicle Composite
3300610,Vehicle Composite
330062.5,Vehicle Composite
3300630,Vehicle Composite
33006C,Vehicle Composite
3300710,Vehicle Composite
330072.5,Vehicle Composite
3300730,Vehicle Composite
33007C,Vehicle Composite
3300810,Vehicle Composite
330082.5,Vehicle Composite
3300830,Vehicle Composite
33008C,Vehicle Composite
3300910,Vehicle Composite
330092.5,Vehicle Composite
3300930,Vehicle Composite
33009C,Vehicle Composite
3301,Soil Dust
3301010,Gasoline Vehicle
330102.5,Gasoline Vehicle
3301030,Gasoline Vehicle
33010C,Gasoline Vehicle
3301110,Vehicle Composite
330112.5,Vehicle Composite
3301130,Vehicle Composite
33011C,Vehicle Composite
3302,Road Dust
3302010,Vehicle Composite
330202.5,Vehicle Composite
3302030,Vehicle Composite
33020C,Vehicle Composite
3303,Road Dust
3304,Road Dust
3305,Road Dust
3306,Soil Dust
3307,Soil Dust
3308,Soil Dust
3309,Soil Dust
3310,Soil Dust
3311,Soil Dust
3312,Soil Dust
3313,Soil Dust
3314,Soil Dust
3315,Soil Dust
3316,Road Dust
3317,Road Dust
3318,Road Dust
3319,Road Dust
3320,Road Dust
3321,Road Dust
3322,Road Dust
3323,Road Dust
3324,Road Dust
3325,Road Dust
3326,Road Dust
3327,Road Dust
3328,Road Dust
3329,Road Dust
3330,Road Dust
3331,Soil Dust
3332,Soil Dust
3333,Soil Dust
3334,Soil Dust
3335,Soil Dust
3336,Soil Dust
3337,Soil Dust
3338,Soil Dust
3339,Soil Dust
3340,Soil Dust
3341,Road Dust
3342,Road Dust
3343,Road Dust
3344,Road Dust
3345,Road Dust
3346,Road Dust
3347,Road Dust
3348,Road Dust
3349,Road Dust
3350,Road Dust
3351,Road Dust
3352,Road Dust
3353,Road Dust
3354,Road Dust
3355,Road Dust
3356,Soil Dust
3357,Soil Dust
3358,Soil Dust
3359,Soil Dust
3360,Soil Dust
3361,Soil Dust
3362,Soil Dust
3363,Soil Dust
3364,Soil Dust
3365,Soil Dust
3366,Road Dust
3367,Road Dust
3368,Road Dust
3369,Road Dust
3370,Road Dust
3371,Road Dust
3372,Road Dust
3373,Road Dust
3374,Road Dust
3375,Road Dust
3376,Road Dust
3377,Road Dust
3378,Road Dust
3379,Road Dust
3380,Road Dust
3381,Road Dust
3382,Road Dust
3383,Road Dust
3384,Road Dust
3385,Road Dust
3386,Road Dust
3387,Road Dust
3388,Road Dust
3389,Road Dust
3390,Road Dust
3391,Soil Dust
3392,Soil Dust
3393,Soil Dust
3394,Soil Dust
3395,Soil Dust
3396,Soil Dust
3397,Soil Dust
3398,Soil Dust
3399,Soil Dust
3400,Soil Dust
3400110,Aircraft
340012.5,Aircraft
3400130,Aircraft
34001C,Aircraft
3400210,Brake Tire Wear
340022.5,Brake Tire Wear
3400230,Brake Tire Wear
34002C,Brake Tire Wear
3400310,Brake Tire Wear
340032.5,Brake Tire Wear
3400330,Brake Tire Wear
34003C,Brake Tire Wear
3400410,Brake Tire Wear
340042.5,Brake Tire Wear
3400430,Brake Tire Wear
34004C,Brake Tire Wear
3400510,Vehicle Composite
340052.5,Vehicle Composite
3400530,Vehicle Composite
34005C,Vehicle Composite
3400610,Brake Tire Wear
340062.5,Brake Tire Wear
3400630,Brake Tire Wear
34006C,Brake Tire Wear
3400710,Brake Tire Wear
340072.5,Brake Tire Wear
3400730,Brake Tire Wear
34007C,Brake Tire Wear
3400810,Brake Tire Wear
340082.5,Brake Tire Wear
3400830,Brake Tire Wear
34008C,Brake Tire Wear
3401,Soil Dust
3402,Soil Dust
3403,Soil Dust
3404,Soil Dust
3405,Soil Dust
3406,Soil Dust
3407,Soil Dust
3408,Soil Dust
3409,Soil Dust
3410,Soil Dust
3411,Soil Dust
3412,Soil Dust
3413,Soil Dust
3414,Soil Dust
3415,Soil Dust
3416,Volcano
3417,Volcano
3418,Volcano
3419,Volcano
3420,Volcano
3421,Road Dust
3422,Road Dust
3423,Road Dust
3424,Road Dust
3425,Road Dust
3426,Soil Dust
