"","PROFILE_CODE","WEIGHT_PERCENT","UNCERTAINTY_PERCENT","SPECIES_NAME","SYMBOL","PROFILE_NAME","PROFILE_TYPE","TOTAL","REGION","CATEGORY_LEVEL_1_Generation_Mechanism","CATEGORY_LEVEL_2_Sector_Equipment","CATEGORY_LEVEL_3_.Fuel_Product"
"281326","95502",2,1.058823529,"Sodium ion","Na+","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281328","95502",0.012941176,0.009411765,"Zinc","Zn","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281329","95502",1.647058824,1.176470588,"Ammonium","NH4+","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281331","95502",10.58823529,10.23529412,"Potassium ion","K+","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281332","95502",0.905882353,0.352941176,"Calcium ion","Ca+2","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281337","95502",20,14.11764706,"Chloride ion","Cl-","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281338","95502",2.823529412,1.882352941,"Sulfate","SO4=","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281339","95502",0.014117647,0.013176471,"Potassium","K","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281340","95502",0.04,0.012941176,"Bromine","Br2","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281341","95502",0.000988235,0.001882353,"Arsenic","As","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281342","95502",0.000894118,0.001141176,"Chromium","Cr","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281343","95502",0.003647059,0.002823529,"Copper","Cu","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281344","95502",0.017647059,0.008235294,"Iron","Fe","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281345","95502",0.010117647,0.009529412,"Lead","Pb","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281346","95502",0.006588235,0.006823529,"Manganese","Mn","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
"281347","95502",0.002470588,0.002,"Nickel","Ni","Agricultural Burning - Rice Straw - China","PM-AE6",100,"China","Combustion","Biomass Burning; Agriculture","Rice Straw"
